Underlying,FixedRate,TradeId,Counterparty,Quantity,TradeType
YBVMA,0.25,2431,Ortiz LLC,182693.94,IRSwap
O83TP,0.58,2432,Shanahan and Sons,993454.80,IRSwap
35OXA,0.27,2433,Runolfsdottir - Bartoletti,428395.22,IRSwap
DX94J,0.03,2434,Treutel Group,346539.70,IRSwap
YC9N9,0.79,2435,Beer Inc,777709.23,IRSwap
2JM33,0.79,2436,Kuhlman Group,516345.13,IRSwap
360YM,0.76,2437,Wiegand - Heathcote,26192.68,IRSwap
AM9GQ,0.89,2438,"Wilkinson, Gleichner and Osinski",510089.63,IRSwap
O1AAU,0.29,2439,O'Kon and Sons,248006.02,IRSwap
4P3OS,0.34,2440,Bayer Group,376491.72,IRSwap
2770R,0.91,2441,Barton LLC,824130.78,IRSwap
MAUSF,0.15,2442,Nikolaus - Herman,893512.59,IRSwap
WIAEK,0.52,2443,"Parker, Satterfield and Koss",810793.62,IRSwap
Z5N6G,0.83,2444,Parisian - Jacobs,601100.79,IRSwap
IOVQT,0.85,2445,Leannon Group,910676.11,IRSwap
M9105,0.71,2446,Gibson LLC,605159.51,IRSwap
YYAN5,0.20,2447,"Moore, Dibbert and Huel",809178.87,IRSwap
5UKA7,0.64,2448,Wiza - Hammes,447376.19,IRSwap
B1SZQ,0.12,2449,Marvin - Reinger,187492.85,IRSwap
OBJ3K,0.74,2450,Ankunding - Ritchie,931887.78,IRSwap
QAB5G,0.40,2451,Bogisich - Pagac,654434.61,IRSwap
C1G7H,0.91,2452,Reichert - West,67390.13,IRSwap
JL8DR,0.83,2453,Gutmann Group,27576.45,IRSwap
2GW2G,0.02,2454,Klocko LLC,476090.73,IRSwap
X2OLM,0.87,2455,"Nienow, Lindgren and Hane",638912.09,IRSwap
95N35,0.05,2456,Mitchell LLC,585545.29,IRSwap
ZGZV5,0.39,2457,"Homenick, Mosciski and Bode",20605.20,IRSwap
LDMIK,0.80,2458,"Krajcik, D'Amore and Larson",761826.13,IRSwap
3WSB8,0.97,2459,Will Group,853892.91,IRSwap
X8MXL,0.68,2460,Wisozk Group,256332.55,IRSwap
H2IK9,0.48,2461,"Kunde, Kuhlman and McClure",127176.09,IRSwap
N35WK,0.20,2462,Kuhn - Carter,240749.12,IRSwap
IC9UC,0.77,2463,Trantow - Johns,434092.56,IRSwap
GEQLT,0.29,2464,"VonRueden, Torphy and Boyer",647722.96,IRSwap
P095G,0.03,2465,"Yost, Kunde and Pfeffer",479628.60,IRSwap
25M4T,0.67,2466,Kris Inc,600935.16,IRSwap
L0L6O,0.44,2467,Kulas Group,708013.51,IRSwap
WXQ0N,0.25,2468,Rosenbaum Group,822825.80,IRSwap
WEY1E,0.26,2469,Douglas - Hamill,663000.83,IRSwap
JHPZV,0.67,2470,Kulas Inc,622910.28,IRSwap
Q9KBP,0.15,2471,Bernhard - Kreiger,11999.13,IRSwap
3Z64T,0.19,2472,Mertz - Koelpin,563108.36,IRSwap
CSQA9,0.41,2473,Lockman Group,414658.39,IRSwap
TIQBX,0.63,2474,Runolfsson Inc,984388.53,IRSwap
I1GJJ,0.32,2475,"O'Connell, Herman and Friesen",862832.94,IRSwap
V92OX,0.52,2476,Cummings - Parker,610168.40,IRSwap
MGHQL,0.27,2477,Bashirian and Sons,939238.90,IRSwap
6JJTR,0.29,2478,"Dicki, Daugherty and Hettinger",416383.02,IRSwap
GDY8N,0.63,2479,"Reinger, Bogisich and Mraz",597997.67,IRSwap
B82JP,0.95,2480,"Brown, Lind and Monahan",68242.51,IRSwap
B6OQI,0.85,2481,Koch and Sons,990291.61,IRSwap
7B1Z3,0.79,2482,Fay LLC,311990.61,IRSwap
2TT48,0.32,2483,Mohr - Feil,192612.89,IRSwap
M7L56,0.26,2484,"Erdman, McCullough and Schmitt",448553.56,IRSwap
VZAVZ,0.19,2485,Cremin - Sanford,842166.86,IRSwap
O77XH,0.39,2486,Kling Group,597903.35,IRSwap
XNQVK,0.10,2487,Kuhic - Dibbert,92482.73,IRSwap
UGGC6,0.83,2488,Simonis - Waelchi,531150.95,IRSwap
ORO7S,0.41,2489,Gaylord - Fritsch,131026.28,IRSwap
P0YOW,0.24,2490,Paucek LLC,793245.59,IRSwap
R9JDR,0.21,2491,Kerluke and Sons,891991.73,IRSwap
A82F6,0.98,2492,"Steuber, Robel and Ondricka",878489.13,IRSwap
Q64TT,0.49,2493,Boehm - Crooks,82214.92,IRSwap
YCDF8,0.28,2494,"King, West and McClure",74440.90,IRSwap
XZWES,0.91,2495,Mann - Oberbrunner,159445.21,IRSwap
C5T02,0.40,2496,Reynolds and Sons,715307.82,IRSwap
ES2SC,0.88,2497,Weissnat - Reilly,985314.15,IRSwap
IIXS6,0.21,2498,"Abbott, Wehner and Predovic",88786.92,IRSwap
POVQT,0.55,2499,Bartell - Mayert,510261.63,IRSwap
IUNQ5,0.91,2500,Hauck - Sipes,722445.09,IRSwap
9SKMU,0.63,2501,Bednar Group,221056.82,IRSwap
W5HP3,0.22,2502,"Emmerich, Tremblay and Dickens",141252.41,IRSwap
N3ZKO,0.85,2503,Lindgren and Sons,340551.16,IRSwap
D4C8X,0.13,2504,O'Keefe and Sons,103029.34,IRSwap
4FNKL,0.70,2505,Towne Inc,661258.71,IRSwap
1IKVL,0.69,2506,Becker Inc,689468.81,IRSwap
PKM3S,0.79,2507,Baumbach - Crona,772394.29,IRSwap
6CO77,0.46,2508,"Feeney, Ryan and Wuckert",979445.92,IRSwap
4ML2U,0.54,2509,Yost - Wuckert,668908.65,IRSwap
6QEYK,0.83,2510,Nitzsche - Fay,540380.72,IRSwap
YA2PU,0.16,2511,Schneider - Schoen,909021.94,IRSwap
263LY,0.03,2512,"Osinski, Hoppe and Fay",193695.23,IRSwap
LJFSG,0.94,2513,Waters Inc,309855.57,IRSwap
62PUJ,0.88,2514,"Nitzsche, Huel and Turner",589683.03,IRSwap
9ZC4J,0.31,2515,Pfannerstill LLC,806150.53,IRSwap
VKLDQ,0.62,2516,Morissette - Schmidt,543970.47,IRSwap
ZBLV3,0.39,2517,"Hoeger, Emmerich and Dickens",30605.71,IRSwap
MIBJ3,0.65,2518,"Jacobs, Corkery and Satterfield",245182.45,IRSwap
CPMGC,0.11,2519,"Nicolas, Hilpert and Bailey",593000.26,IRSwap
R9OQ9,0.44,2520,"Wilkinson, Stehr and Koss",441734.77,IRSwap
MX316,0.53,2521,"Medhurst, Emmerich and O'Hara",764231.76,IRSwap
0EYV9,0.64,2522,Krajcik LLC,818851.15,IRSwap
XR6Q2,0.87,2523,O'Hara and Sons,193698.57,IRSwap
STXL3,0.68,2524,Howe - Koepp,718013.14,IRSwap
ODVMR,0.87,2525,Haley - Waelchi,398990.53,IRSwap
XQGUU,0.77,2526,"Steuber, Altenwerth and Schneider",877162.16,IRSwap
W0V17,0.46,2527,Witting - Hahn,179689.99,IRSwap
QQ2IJ,0.89,2528,Schmeler - Marquardt,263218.45,IRSwap
HDNUU,0.06,2529,Williamson - Dickinson,166198.42,IRSwap
0CL7S,0.37,2530,Rosenbaum - Ferry,914310.95,IRSwap
C2FJ5,0.21,2531,McCullough LLC,414022.66,IRSwap
ES5OI,0.35,2532,"Weissnat, Green and Windler",215357.19,IRSwap
MKN9D,0.12,2533,Doyle Inc,974087.34,IRSwap
ESTFX,0.12,2534,"Renner, Davis and Stoltenberg",970015.63,IRSwap
9PLKG,0.53,2535,"Murphy, Hudson and Lindgren",468655.77,IRSwap
FFQIS,0.29,2536,Ankunding Inc,378060.67,IRSwap
3800B,0.25,2537,"Bogan, Schuppe and Effertz",108947.94,IRSwap
QF5AY,0.66,2538,Ferry - Harris,575127.04,IRSwap
ULYC3,0.94,2539,"Olson, Hammes and Klocko",167559.06,IRSwap
KBC6G,0.58,2540,Simonis Group,544132.93,IRSwap
ROSO0,0.58,2541,Considine - Graham,699453.79,IRSwap
FHRX8,0.65,2542,Senger LLC,942358.56,IRSwap
EEE16,0.11,2543,Olson Inc,315031.45,IRSwap
I1RE6,0.79,2544,"Brekke, Labadie and Blick",258710.91,IRSwap
C7Z42,0.57,2545,Hartmann LLC,718669.73,IRSwap
WXYAD,0.27,2546,Waters - Schmidt,518179.32,IRSwap
BJOWG,0.00,2547,"Langosh, Tromp and Schmeler",107699.86,IRSwap
BOL27,0.42,2548,Bednar - Stracke,790786.49,IRSwap
PKCL2,0.47,2549,"Bradtke, Leuschke and Hickle",177048.12,IRSwap
FPL0N,0.30,2550,Von Inc,759970.25,IRSwap
VXQK8,0.37,2551,Moore LLC,869555.09,IRSwap
EDFXM,1.00,2552,Crist Group,861377.58,IRSwap
I5U1W,0.97,2553,Hane and Sons,526689.25,IRSwap
HYHAR,0.83,2554,"Bergstrom, Mann and Carter",698481.80,IRSwap
25C2A,0.68,2555,"Hegmann, Powlowski and Goldner",871670.27,IRSwap
71CQ3,0.70,2556,O'Connell - Wiza,887603.24,IRSwap
Q5XEX,0.63,2557,"Gleason, Howell and Collier",589712.08,IRSwap
9N2OO,0.83,2558,"Cummerata, Little and Wolff",698757.45,IRSwap
T9X5K,0.68,2559,"Haag, Ortiz and Von",144865.34,IRSwap
4ACZF,0.67,2560,Braun Inc,308677.39,IRSwap
FWISP,0.66,2561,Bechtelar - Lowe,483498.02,IRSwap
2GOLC,0.65,2562,Armstrong - Stark,581413.15,IRSwap
1FWE4,0.37,2563,Schamberger - Beier,171483.80,IRSwap
94FPW,0.75,2564,"Price, Funk and Cronin",334125.29,IRSwap
49H8O,0.61,2565,Klein Group,279543.77,IRSwap
ZDGZ0,0.13,2566,"Nitzsche, Sanford and Dibbert",560201.25,IRSwap
O8TC8,0.87,2567,"Harber, Von and Prohaska",761562.70,IRSwap
5WW6E,0.16,2568,Treutel - Heller,339348.63,IRSwap
HYR9Q,0.98,2569,Rowe - Ziemann,57479.50,IRSwap
ZKCK9,0.40,2570,"Towne, Muller and Koch",121600.35,IRSwap
VU7UH,0.54,2571,Hills Group,190497.50,IRSwap
XNAPH,0.57,2572,"Morar, Wintheiser and Fay",570012.48,IRSwap
9W75B,0.55,2573,Gerlach - Considine,560424.49,IRSwap
E4VL4,0.55,2574,Corkery - Runolfsson,117321.19,IRSwap
9N8J2,0.94,2575,Gaylord - Kiehn,924018.61,IRSwap
Q4QML,0.94,2576,Smitham Group,831677.39,IRSwap
6G746,0.80,2577,Parisian Inc,985271.69,IRSwap
CT7AM,0.66,2578,"Pollich, McGlynn and Waelchi",142631.82,IRSwap
SDXEA,0.39,2579,Borer - Hirthe,483248.88,IRSwap
Q2GQT,0.46,2580,Yost Inc,549967.09,IRSwap
D9UOD,0.29,2581,Hilpert and Sons,161303.94,IRSwap
CLSIE,0.10,2582,Hegmann - Ziemann,279779.90,IRSwap
JPEDE,0.27,2583,Raynor Group,413043.80,IRSwap
JAT73,0.54,2584,Kozey - Kozey,153237.33,IRSwap
VWZW7,0.15,2585,Frami - Aufderhar,984583.34,IRSwap
7EGUM,0.68,2586,Wilkinson and Sons,711387.13,IRSwap
1VUQ1,0.77,2587,"Kuhlman, Greenfelder and Breitenberg",932397.69,IRSwap
0PXJN,0.71,2588,Jacobi - Stehr,589179.82,IRSwap
E4RY5,0.83,2589,Crona - Frami,982264.15,IRSwap
YW1U0,0.15,2590,"McLaughlin, Keebler and Parker",22083.77,IRSwap
JI46P,0.55,2591,Dach and Sons,700619.46,IRSwap
B14IX,0.11,2592,Wiza Group,365897.40,IRSwap
Y6K2S,0.87,2593,"McDermott, Emmerich and Schmidt",991706.09,IRSwap
UAULN,0.78,2594,"Murray, Mann and Hagenes",986186.30,IRSwap
GBOWS,0.53,2595,Goodwin - Oberbrunner,617732.80,IRSwap
LPLBJ,0.11,2596,"Ullrich, Gleason and Mertz",955279.86,IRSwap
2C6UO,0.31,2597,"Pfannerstill, Nicolas and Heathcote",395736.24,IRSwap
5DIUV,0.16,2598,Bradtke - Conn,941954.59,IRSwap
P19K9,0.28,2599,"Hauck, Runolfsdottir and Reinger",300103.95,IRSwap
0929C,0.72,2600,Padberg LLC,587381.03,IRSwap
G0FC2,0.48,2601,"Steuber, Monahan and Kerluke",165175.36,IRSwap
M3CBW,0.27,2602,"Wiegand, Waelchi and Heller",870060.49,IRSwap
LC53F,0.60,2603,Bashirian - Howell,425121.99,IRSwap
5A490,0.84,2604,Kessler - Becker,481933.44,IRSwap
QL85N,0.98,2605,Dickens Group,405084.98,IRSwap
K1QUN,0.29,2606,"Barton, Schneider and Osinski",453665.20,IRSwap
IVVPB,0.96,2607,Oberbrunner Group,151806.74,IRSwap
78ZP0,0.12,2608,Grimes Inc,33273.58,IRSwap
HMD1K,0.24,2609,Kiehn and Sons,677894.11,IRSwap
0JX97,0.74,2610,Johns - Herzog,556299.70,IRSwap
UQQM8,0.34,2611,Kassulke - Harris,15106.91,IRSwap
AS67N,0.88,2612,Batz Group,542509.68,IRSwap
KNXI1,0.67,2613,Smitham - Collins,81328.60,IRSwap
QK3FU,0.75,2614,Rempel and Sons,264743.16,IRSwap
CKT97,0.35,2615,"Roberts, Schaefer and Fisher",179689.78,IRSwap
A9G6S,0.21,2616,"Mertz, Harvey and Gerhold",532467.69,IRSwap
JKSPO,0.75,2617,Marvin - Barrows,336301.89,IRSwap
1WW73,0.12,2618,Turner - Witting,739697.87,IRSwap
4507A,0.86,2619,Senger and Sons,585463.61,IRSwap
77USZ,0.02,2620,"Ondricka, Wilderman and Pouros",136185.50,IRSwap
ODIHE,0.35,2621,Leffler - Moen,363630.76,IRSwap
S9F7E,0.57,2622,Boehm LLC,969726.61,IRSwap
PYALU,0.68,2623,Jerde - Senger,754604.82,IRSwap
OAP7F,0.79,2624,Jaskolski Inc,101502.65,IRSwap
RK9PC,0.96,2625,Reynolds - Treutel,510941.83,IRSwap
5PUNQ,0.08,2626,"Nitzsche, Jakubowski and Keeling",434112.30,IRSwap
ZKAHJ,0.22,2627,"Nitzsche, Quigley and Greenfelder",832067.71,IRSwap
B04OK,0.25,2628,"Monahan, Blick and Stehr",516144.11,IRSwap
OILUK,0.70,2629,"VonRueden, Johnson and Abernathy",661571.62,IRSwap
XLOFV,0.40,2630,"Mayert, Borer and Dickens",220436.38,IRSwap
KNDUJ,0.06,2631,Thompson - Schimmel,355002.19,IRSwap
VTBWS,0.89,2632,Olson - Rosenbaum,790377.35,IRSwap
RB32I,0.99,2633,"Orn, Beier and Turner",498121.42,IRSwap
J7B3V,0.21,2634,Hudson and Sons,372747.96,IRSwap
XBEC3,0.26,2635,Adams LLC,183368.95,IRSwap
TVUTB,0.29,2636,"Nolan, Wiza and Quitzon",878904.99,IRSwap
AFCM0,0.83,2637,"Bahringer, Bins and Howell",271422.25,IRSwap
PKFXQ,0.99,2638,"Parisian, Pollich and Okuneva",419544.05,IRSwap
RHPBG,0.27,2639,Ebert and Sons,415435.15,IRSwap
KSN1Z,0.01,2640,Von - Feeney,984216.92,IRSwap
A07E6,0.28,2641,Fisher - Wiegand,735796.64,IRSwap
RVWUI,0.92,2642,Howe - Lowe,787116.00,IRSwap
CRGOU,0.93,2643,Gulgowski - Marquardt,560196.92,IRSwap
09R4Q,0.27,2644,"Hoeger, White and Rice",512352.05,IRSwap
6DF8P,0.90,2645,Cremin Inc,878515.70,IRSwap
NEDJK,0.54,2646,"Lindgren, Beer and Huel",175625.56,IRSwap
FT9QL,0.14,2647,Fisher - Heaney,8802.86,IRSwap
EO6E0,0.45,2648,"Ruecker, O'Conner and Gutmann",144037.83,IRSwap
WCCCV,0.37,2649,Bartell Inc,840090.90,IRSwap
WTVQJ,0.17,2650,Dickens - Renner,765930.56,IRSwap
RE319,0.71,2651,Braun - Romaguera,55449.15,IRSwap
E776J,0.47,2652,Collier LLC,96055.44,IRSwap
KXJ8K,0.81,2653,"Hilpert, Reynolds and Ryan",144535.85,IRSwap
1932H,0.25,2654,Sporer - Sporer,952207.12,IRSwap
GNMDP,0.63,2655,Bosco Inc,151997.86,IRSwap
DZW7H,0.55,2656,"Dibbert, Block and Feeney",124950.52,IRSwap
P5DX3,0.11,2657,"Price, Treutel and Sanford",289584.61,IRSwap
KMOXA,0.18,2658,Ernser LLC,278719.18,IRSwap
RMTOA,0.18,2659,Weber - Brown,250932.40,IRSwap
9D6XH,0.00,2660,"Ziemann, Prosacco and Labadie",393212.31,IRSwap
LUSC8,0.27,2661,"Ledner, Mertz and Cartwright",858982.34,IRSwap
SII3B,0.69,2662,Hirthe and Sons,764797.13,IRSwap
I4VB8,0.52,2663,Waters - Frami,72047.34,IRSwap
I4W0Z,0.87,2664,"Schimmel, Daniel and Rowe",410690.74,IRSwap
8MHUN,0.85,2665,"Wilkinson, McLaughlin and Schiller",328324.43,IRSwap
C1CGY,0.49,2666,Hackett Inc,592479.11,IRSwap
7IC9E,0.62,2667,Prohaska and Sons,408357.58,IRSwap
ZNA6W,0.26,2668,Harvey Group,698276.99,IRSwap
VMT52,0.56,2669,"Jacobs, Thiel and Connelly",620813.22,IRSwap
9BD4P,0.27,2670,Aufderhar - Homenick,833542.48,IRSwap
UHFMP,0.77,2671,Klein Inc,777044.20,IRSwap
PT4SB,0.88,2672,Marquardt LLC,654759.40,IRSwap
JBFVQ,0.34,2673,Brekke - Halvorson,52776.90,IRSwap
YUDSD,0.20,2674,"Beier, Daugherty and Wunsch",630190.55,IRSwap
YBQ4F,0.18,2675,Konopelski and Sons,411452.22,IRSwap
34Z8I,0.05,2676,Schinner - Smitham,738314.02,IRSwap
3EP0R,0.97,2677,Trantow - Herzog,869948.66,IRSwap
N0NKZ,0.71,2678,"Abshire, Wiegand and Parisian",333641.23,IRSwap
C8JTV,0.12,2679,"Grimes, Cronin and Gutmann",263653.29,IRSwap
3FBKL,0.70,2680,Harvey LLC,310096.32,IRSwap
U5EG4,0.33,2681,Koch - Jast,589872.21,IRSwap
7KT1H,0.49,2682,"Leffler, Harris and Shields",598425.98,IRSwap
10JKB,0.98,2683,"Bosco, O'Keefe and Rogahn",615443.22,IRSwap
RPF6U,0.08,2684,Anderson - Hills,835625.21,IRSwap
TPWVH,0.53,2685,"Lowe, Keebler and Reynolds",4339.30,IRSwap
RU84D,0.92,2686,Effertz and Sons,366747.42,IRSwap
BGRGU,0.41,2687,Altenwerth - Quitzon,123771.37,IRSwap
80M8B,0.63,2688,"Nicolas, Jast and Gleichner",543910.71,IRSwap
XGZV6,0.07,2689,"Skiles, Klein and Grady",800163.71,IRSwap
PLOCY,0.46,2690,Crooks - Brakus,539307.04,IRSwap
S5TJT,0.62,2691,Blick LLC,483752.45,IRSwap
9UIIA,0.45,2692,"Bernhard, Green and Trantow",173942.45,IRSwap
50IEX,0.89,2693,"Fadel, Schimmel and Dare",247559.25,IRSwap
SSZSN,0.47,2694,Dach - Olson,757582.84,IRSwap
V7DGR,0.16,2695,Marks Inc,389514.95,IRSwap
VBJZT,0.02,2696,"O'Keefe, Adams and Bashirian",854279.69,IRSwap
48EG1,0.52,2697,Pouros - Wyman,706248.28,IRSwap
LSDYN,0.04,2698,"O'Connell, Yost and Weissnat",653087.39,IRSwap
5MWXH,0.44,2699,Ruecker - Beier,708058.43,IRSwap
7ORZY,1.00,2700,"Shields, Kihn and Mraz",877794.61,IRSwap
379I6,0.04,2701,"Nolan, Boyle and Adams",21632.97,IRSwap
XZYLI,0.54,2702,Wunsch Group,930294.05,IRSwap
JBRD3,0.62,2703,Blick - Wehner,819873.84,IRSwap
YP5IP,0.66,2704,"Pollich, Beahan and Volkman",117922.70,IRSwap
UYAOS,0.37,2705,"Gislason, Rosenbaum and O'Connell",461036.72,IRSwap
56HRF,0.88,2706,Klocko - D'Amore,567402.90,IRSwap
XVTYA,0.81,2707,MacGyver - Bednar,488959.86,IRSwap
T662H,0.83,2708,Schroeder Group,576966.35,IRSwap
9LQJS,0.51,2709,Johnston Group,614194.40,IRSwap
KPP5I,0.97,2710,Rolfson - Gorczany,770976.77,IRSwap
AMKLR,0.98,2711,Hansen and Sons,985898.16,IRSwap
SZQF8,0.34,2712,Hyatt and Sons,598207.27,IRSwap
5BJ40,0.11,2713,Gibson Inc,784093.26,IRSwap
OR1UB,0.63,2714,Anderson - Luettgen,519581.54,IRSwap
H9GOZ,0.57,2715,Considine Group,816494.16,IRSwap
V5LUY,0.09,2716,"Gislason, Walsh and Denesik",838274.08,IRSwap
0URW0,0.96,2717,McClure - Oberbrunner,508250.07,IRSwap
GCAVV,0.86,2718,"Brekke, Moen and Hammes",982794.20,IRSwap
3DOTL,0.43,2719,Kirlin Inc,212981.30,IRSwap
5BHFO,0.77,2720,"Hoeger, Lind and Mann",565361.87,IRSwap
VUETB,0.95,2721,"Moen, Bechtelar and Cremin",319088.32,IRSwap
HAXG3,0.09,2722,Feest and Sons,131494.75,IRSwap
2RFB1,0.80,2723,Lemke - Vandervort,729201.89,IRSwap
U32RI,0.83,2724,Daniel - Boehm,172522.44,IRSwap
AA8FN,0.01,2725,Sauer - Bruen,43903.04,IRSwap
J25F9,0.11,2726,Will - Moen,686800.98,IRSwap
HW55A,0.40,2727,Borer - Sawayn,520790.65,IRSwap
OMFVF,0.76,2728,Cremin Group,261976.30,IRSwap
8HKEM,0.77,2729,Wyman - Ondricka,24149.18,IRSwap
BZLJD,0.16,2730,"Nienow, Larkin and Hyatt",387880.02,IRSwap
FZC0W,0.65,2731,Considine and Sons,777800.70,IRSwap
GFRA0,0.34,2732,Zemlak and Sons,599399.94,IRSwap
MKVCN,0.83,2733,"Leannon, Lebsack and Kihn",598765.73,IRSwap
UE8SI,0.22,2734,Baumbach LLC,418151.13,IRSwap
N0SXW,0.24,2735,Rempel - Buckridge,682477.94,IRSwap
KMT6S,0.42,2736,Littel Inc,403908.83,IRSwap
YYV6M,0.02,2737,O'Reilly - Gleason,824276.99,IRSwap
DSERY,0.61,2738,Kunde - Kuphal,120062.17,IRSwap
SZ7U7,0.60,2739,"Weimann, Kling and Jacobs",534543.89,IRSwap
PGAQP,0.15,2740,Bahringer Inc,751497.06,IRSwap
S1X1S,0.22,2741,Hamill - Thiel,726047.91,IRSwap
J7VA6,0.95,2742,Fahey Inc,651848.12,IRSwap
GFDNB,0.11,2743,"Hauck, Jacobson and Johnson",445888.51,IRSwap
MKOQQ,0.07,2744,Gerhold and Sons,157854.59,IRSwap
UUF7I,0.60,2745,Berge Group,551285.15,IRSwap
AWGAB,0.63,2746,MacGyver LLC,466574.80,IRSwap
0YPHW,0.64,2747,Howe - Kling,107693.10,IRSwap
I9EVL,0.62,2748,Lynch and Sons,879334.03,IRSwap
GIZVP,0.11,2749,"Corkery, Conroy and Renner",111272.14,IRSwap
SLVJV,0.14,2750,Jacobson - Brekke,513957.28,IRSwap
4VY0I,0.60,2751,"Haley, Strosin and Jaskolski",444961.40,IRSwap
QZJGP,0.61,2752,"Quitzon, Nicolas and Jenkins",243611.30,IRSwap
BDQOI,0.33,2753,Leffler Group,154494.19,IRSwap
BNCN1,0.88,2754,"Kreiger, Bednar and Sipes",272299.53,IRSwap
H3JVW,0.98,2755,Larson LLC,692862.65,IRSwap
CLASI,0.23,2756,Kertzmann - Hammes,115193.86,IRSwap
8KKYE,0.33,2757,Wyman - Gibson,948253.83,IRSwap
Z02GU,0.26,2758,Schowalter LLC,737174.96,IRSwap
B1QPX,0.71,2759,Sawayn LLC,350558.34,IRSwap
J79RG,0.89,2760,Lowe - Considine,816127.26,IRSwap
SMRK4,0.34,2761,Mante - Kub,559156.31,IRSwap
1JCWN,0.19,2762,Simonis - Weimann,238864.56,IRSwap
NNU7S,0.75,2763,"Stokes, Bayer and Pollich",954366.70,IRSwap
MA2KP,0.27,2764,Abbott Group,736508.70,IRSwap
